unda raxmat awele bogaðaq kule bujenda urenlashqan bulgan	там деревня рахметово была расположена около озера бугодак
abej jejansaren saqergan	бабушка позвала внучку
beloret qalahena kilgas ing berense mineng   minga qejen bulgan jere ureθ telen belmaw ine	когда приехала в белорецк самый первый мой   трудное для меня место было незнание русского языка
jendar ða belmaj	даже духи не знают
kak oni ujehali u mena wse w glazah stoit	как они уехали у меня все в глазах стоит
svadbaga nej   aj svadbaga bena nej bula jejelalar ða tugandar jejelabeð ir jagenan qeð jagenan tugandar jejelabeð ða  	ну к свадьбе это   ой к свадьбе вот так происходит собираются родные собираемся со стороны мужчины со стороны девушки родные собираемся  
elek institutqa uqerga kilew qejen bula torgajne shul beððe ataj institutqa kererhegeð tip tereshtergajne	раньше ведь было трудно поступить учиться в институт отец нас заставлял постараться говоря поступите в институт
beð bota klass menan bejelge jelda oltok qaragastaren qararga barðeq	в этом году мы всем классом ездили смотреть многоствольные шарообразные лиственницы
nu aleθ bigerak alla ni saqle barer karak	ну да слишком далеко не знаю сколько надо ехать
sagat alla os ine ul tongo tri chasa	времени было вроде три часа ночи три часа
a bena qerq kon uraða bajrame utkandan hung qerq kondan hung qorban bajrame bula	и вот через сорок дней после праздника поста через сорок дней бывает праздник жертвы 
a ilnaraneqen direktorðan algandar tej tugelme	а у ильнары у директора заверили не так ли
ultertegeð ða bar segep torogoð	поставьте пока выходите и пойдите
shulajtep alla bojok alla bojok tip shul botorolop qujela inde shulaj   shul primernyj perewod shulaj primernyj perewodit ittem	вот так аллах велик аллах велик - так заканчивается  так   вот примерный перевод я так сделал примерный перевод
i takim bulmane shul baldaq almaneq baldaq juq shul baldaqheð shulaj tip tuj utte	и так нет этих колец не достали нет колец и так без колец прошла свадьба
mena durt bish jel elek kena ale ing olkan ule rashit agaj ulde	вот только 4 или 5 лет назад умер их старший сын братец рашит
i druzhno byli shundaj duθ	и дружно были так дружно
ularðe unda   subbota kondo qajtalar ili shambe kondo qajtalar alep kilalar qesh bulha traktorða a jal kono kire alep baralar ine	их туда   в субботу  или в субботу сюда возвращались а зимой привозили на тракторе а в воскресенье отвозили обратно
mejestar botto	печи не существуют
alege tege tormoshtage nejðan alengan bit inde ul tormoshtan   wse	он ведь такой как в нынешней жизни из этой взят из жизни   все
no beð kuldan qajtep kila inek	ну мы возвращались с озера
ham zoxra shul nurðan ajga taban atlap menep kitkan	и зухра по этому лучу поднялась к луне
mena   anda   uðe   shul utkan gumeren alar tochno hojlaj a kilasakte aldajðar	это   вот   сам   прошедшую жизнь они точно говорят а по поводу будущей жизни обманывают
a inde tatar awelena barhalar ungajheðlanep uððaren bashqort tip ajtmahendar oson tatarsa hojlashalar	а когда попадают в татарскую деревню стесняются чтоб их не называли башкирами они говорят по-татарски
mena xaðer sportzalda boton inventary a beððeng teshta hawala aje wse botahe la kruglyj god balalar zanimatsa ita torgajne	вот сейчас весь инвентарь в спортзале а у нас на улице на воздухе да все все  круглый год дети занимались
ber balakaj gena ojga seqtem keshe tormagan ojga	я переселилась в один маленький дом в дом в котором никто не жил
ashaw restoranda bulde	питание было в ресторане
shulaj shulaj butan ajta almajem   ne mogu butan	так… так больше ничего не могу сказать   больше не могу
boron boron zamanda jashagan ti ber babaj	давным-давно жил один старик
balki beraj hajkal da qujerga tip bik bildale keshe bulgan inde	возможно какой-нибудь памятник поставить он же очень известный человек был
kem xaldan kila   jesli hochet jesli sila hwatit  	кому по силам   если хочет если сила хватит  
kem	кто
dazhe televizorenda mena hojlaganda tege ular hojlaj ultera beð tenglaj ulterhaq ej shul huð bashqortsa shulaj bit naprimer swadba tip ajtte	даже когда вот по телевизору говорят они вот говорят мы слушаем эй это слово ведь по-башкирски например свадьба говорят
nu shunan toshop kittem uðema dareska nejðan ike darestan hung tagen tege kabinetqa keram	ну потом пошла к себе на урок через это через два урока опять захожу в кабинет
shulajtep min uga durtle bildahena imtixande tapsherep	вот так я ей сдала экзамен на четверку
ber malde boron - boron zamanda jashagan ti qeð zoxra ham uneng atahe	однажды давным-давно жила девочка зухра со своим отцом
shunan ber aj utkas tege jeget jagena qeððe kilen itep oðatep alep bargandar	потом спустя месяц вот на сторону жениха невесту выдав провожали
ul jaqta uzhe   shul bel jaqtage uðaqtarðe tege jaqta qarshe   uðaqtar be  	на той стороне уже   вот напарников с этой стороны на той стороне встреча   гости эт   
a kup esmahang ul tege dla weselja	а если много не пить то это для веселья
a kem eshlamaj   xaðer ða shulaj ða xaðer ða shulaj	а кто не работает   и сейчас же так и сейчас вот так
uramda jorojðar esalar elek eske bulmane	теперь на улице ходят пьют раньше пьянства не было
rewizija maglumattare bujensa abjalil meng jete joð ða ille altense jelda terkalgan	по данным ревизии абзелил основан в 1756 году
maso pohozhe medwezhje wot nejga tel   govyadinaga oqshagan mezhdu prochim ochen wkusnoje	мясо медвежье похоже вот на это тел   на говядину похоже между прочим очень вкусное
potom shunan xaðer min ajttem inde tege malajena shelterata	потом   потом я рассказала же она позвонила своему сыну
min bajmaq rajonenda tigandaj uqenem unda dialekttar wse rawno kuberak	я в баймакском районе в основном училась там все равно побольше диалектов
tozhe ber bik matur jola inde ul	тоже один очень красивый обряд уж
tolko kuberak kartuf sasep ashaneq kartuf	только много картошки ели картошки
nu ul bulerga tejesh primerno meng bish joð humlegeraq bulak wot	ну это должен быть примерно на полторы тысячи рублей подарок вот
utkargas ul on hemaq bula inde	когда пропущу она будет как мука
