mangi nemgakandu baje bizhin oshikta tikin	в сказаниях есть маңі он был человеком теперь он звезда
taldiwul shukshilalwi ibderen dutki	талдывул заносит свои лыжи в чум
timatna etarep	утром мы не хотим 
mishkatki shurure	они идут к мишке
lotilko	созрело
lotilko	созрело
chiwshiwal lotorol bigneren dugal tara gunderi lotilko	брусника поспевает летом тогда говорят созрело
dulkunal togowo	подложи дров в огонь
ewenkil ajapchulkakur bajel	эвенки очень хорошие люди
ochoki agiw togo etawilitcharan	нечистая баба огонь не топит
ajapchu lalbukat dashkal	хорошенько мохом закрой
hitema bigindi	ты дрянь
ema mandi ema makuchindi	какой крепкий какой слабосильный
omukon da achin	одного да нет
amargut budagou	потом дам
namapchu hun achin	теплой одежды нет
numnaki degildichow	гуси улетели
ripchu turondaren ororwo	плохо говорит об оленях
motogoldi duktekel	деревянными гвоздями забей
amut muurin alapchu	озерный чир вкусный
amanaapitikal hurudagau	скорее запрягай я поеду
mo hirukachudam	дрова таскаю
hini daldus	ты умный
echaw doldide	не слышит
bi homat golemim	я очень боюсь
ekel hogoro	не плачь
ngiwel emenon	кто-нибудь придет оказывается
ebiko emenon nenakin homat hogoldaren	медведь придет оказывается собака громко лает
mini dudu emenon	он придет к моему чуму
ila hurundi	куда идешь
eda mutidendi	почему отпираешься
mini hariwaw	мне известно 
hilur ewa hadandi	ты чего знаешь
hi ulokindi	ты врешь
bajel emere nanakin hogoldo	люди придут собака лает
bi daw achin	у меня нет ума
awolti tepkel dilduji	шапку надень на голову
inmaktu nokel	в мешок положи
urumkun tirgani	очень короткий день
ajat baje ajate uchagnaran	хороший человек хорошо ездит верхом
dundala bururen	она падает на землю
oki nulgi hini dulash	сколько аргишей до твоего чума
orondi hururen	она уйдет оленем
gulaj odaran mukerildi	избу делают из бревен
bi amargut odam	потом я сделаю
mini ajapchu nulgigutim	моя добрая жена
tawar baje ewki hurure	этот человек не поедет
omukon du bidaren	один чум есть
arakukan guligingot udada	давайте тронемся по следом
tugi gunim	так говорю
gorolduli chorom nagilwe	далеко 
tugi haldokal	так правь
bi urmigunicho tarkun dundaj	я давно сказал на ту сторону
dawkal man oron gelun	ешь мой необученный олень
kikishkal ajapchu doldida goro bidawgot	свисни хорошенько издаелка будет слышно
tumna doldam	я слышу топот
nizhӓ dulin taril ekun	середине здесь что есть
iri ajatmer	где лучше
dugdim danal	раздвоилась
gognil uwishki degilderen	лебеди вверх летели
gerkinilwe ewa gundandi	другговорите
tarilduli urguril dakawcha	оттуда они принесли новости
himkishkal hi bi adakta	кашляй ты мне надоело
logimotchende	врешь
hargi hi	дьявол ты
nenakin hi	собака ты
derewush ukudam	морду изломаю
keldana	пучеглазый
buktalakel	пропади
ildikeun	вонючій
buktala	проклятье
baku agiw hangar	вульва дыра женщины
papu agitkan hangar	вульва дыра девочки
hindula hurudangaw	я пойду к тебе
dulaji hururen	онпошла в свой чум
palatkaduk hururen	онвышла из чума
mit tegetcharep edu nugartin tadu	мы сидим здесь они там
mit hurudap ertiki nugartin tartiki	мы пойдём сюда а они туда
miti omukon tirganiwa tegetep	мы сидели один день
ewki emikon doldoro	не скоро наступит ночь 
mit bakadap kongatja	мы найдём лодку
nugartin urmija bakawcha	они нашли давно
bi urmija ichachaw nugartin ichacha	я видел  давно они видели 
bi dukum	я пишу
bi echaw dukura	я не писал
mindu oron achin	у меня нет оленя
egi lunaren egi tirga	теперь снег выпал в этот день 
utali nan tuk bichan	раньше тоже так было
teda	действительно
echa teda bigi	это была неправда
bi echaw bakara	я не нашёл
bi bakam	я найду
bi urmija bakachaw	я давно нашёл
hangadu nakel	положи на ладонь
er ajatmer baje	этот человек лучше
egile ajamama baje	теперь это очень хороший  человек
er ru baje	этот плохой человек
er rumama baje	этот очень плохой  человек
hi huruwkal budawi	ты отнеси и отдай
ami emedan da lagildan	отец придёт и начнёт ругаться
mewuchildan	он рассердится
nugnaki genuginen	гусь улетел
untal bi lukim	я снял унты
bi nodancham igat	я брошу камень
bi ajawa higawa bakam egikakon	я только что нашёл хороший камень
aja higawa bakachaw tingaringa	в прошлом году я нашёл хороший камень
bi egikakon hokorim dengiwi	я только что потерял свои деньги
bi utali hokorchow ketewa dengiwi	до этого я потерял много своих денег
gochin bi emedangaw	в следующем году я приду
gochin kete emedangawin	много нас придёт в следующем году
nugartin emedangatin	они придут
amargut emedangan	онона придёт потом
bi bum uldewe nugandun	я дал ему мяса
miroѣdiha du huruwgot	давай пойдём к мироедихе
hi huruwkel gakal	пойди и возьми
bi ekte	я не 
bi mam hami	я сам знаю
mindu bukal togojo	дай мне огня
tandigat harigmer	давай покурим табак
bi bichaw tiniwa	я был вчера
hi achin bichash	ты не был 
bi bichaw	я был
girki emedan talingo	друг скоро придёт
mini agija achin bigim	у меня нет жены
mini agim bichan	у меня была жена
mini agiw bigin	у меня есть жена
chajtidash	будешь пить чай
etam	не буду
chajtidam	я буду пить чай
nugan emedaren	онона идёт
bi hurudam	я пойду
bi tegemi emedam	я приду завтра
bi egikakon hurudam	я сейчас уйду
nugan hururen omukin	онодна
bi chajtimudam	я буду пить чай
hi nan chajtidangash	ты опять будешь пить чай
nan chatigin	ондолжна пить чай
tegemi hurudap egile	завтра пойдём теперь
nugan bugnon bi gunam	онона даёт обычно говорю
modu dochidaran chipkanchikan	на дереве сидит птичка
bi omgom tolbi	я забыл свой ремень
purtat kandakal	строгай ножом
tar ekun oron huklaginan chalkawidu	что за олень лежит здесь белый
nimakit chagi dalin biraja aja bigin	дальше от нимакит есть хорошая река
ela kutanchana	там кутанчана
ela narun ho	там маленькое очень плохое озеро
urakichin aja	яр хороший
purtawa gakal tawar	возьми тот нож
ela emeren	онпришла сюда
tara ekun hangalwi	щели что это
esha	глаза
tar ekun dutulun	вещь для обуздания что это
ushiwe	упряжь
tar ekun ajilun	вещь для добывания что это
dalip	ум
tar ekun doriwun	он идёт подле что это
tijawun	посох
tar ekun ashichewul bajechewul	звонкоголосые женщины и мужчины что это
bajekon namgaltakajadu tuktukan	облако при ясном небе  человеком что это
hargan	снежное облако лыжами
irekshe temune	плот для шкуры
oshikte	коготь
tar ekun ulguki shitikakanduli ulguki huktiktederen	что проходит сквозь чащу бурундука раздевает бурундука
igdiwun	гребень
tar ekun atrikan tegetcheren takechandu	старуха сидящая на бревне что это
kedero	кожемялка
tawiwkal	загадки
ekun bajel ewki uchara	какие люди не ездят верхом
ripchu bajel hamajel	плохие люди cамоеды
ekun baje dala achin	у какого человека нет ума
bigindi ewenki binon dalichi binon	ты эвенк  возможно есть ум есть возможно
tare ekun dur agikakte	две звезды это что
dur hwechi	две свечки
tar ekun urkolkotcharen	что отворяется дверь
haremukta	веки
