gorowe-e nulgichewun	долго аргишили
ichetnodem	приду посмотреть
amaringdulawer muchuskat	давайте повернем назад
goshajadu bidichotyn	у гоши они находились
i e potom omoden dolbolto dolbo uzhe dolbocholon	и потом он придет уже когда настанет ночь
bokonchuchelden	пошел догонять
beje dewsamdalon giramdamila dewuwki odangas	будешь есть за человеком его объедки кости
dygin klaspe manasaw tadu	четыре класса закончил там
edyn achin bichon eninngiw	мужа не было у моей матери
kungakar hujukur bingehityn-te etesow stadeldu hawaldami	дети маленькие когда были перестал в стаде работать
sundu edu edu orokor won bihe	у вас здесь олени
de	да  
chasownadu indengkityn	в часовне они жили
er tododohun hele emepdem irekselwe   ireksewe ohalba er satyre ireksewon ewan	чтобы вы поверили я принес шкуру камусы шкуру и тому подобное этого песца
uzhe inigeren ororwi	уже развьючил своих оленей
pektyrechen chipkarwe ulukilwe dantakilwe wes	настрелял соболей белок росомах всех
e dolgo uzhe dolgo oj gorojo itygadengnerewun sawodalwer gorojo inipdengnerew gorojo jesche	долго уже долго долго собирали вещи долго вьючили  долго еще
nungan baldisan ngekendedu hegdi hegdi hegdi ekundu	она родилась в эконде в большой большой большой этой самой 
amim dylganman urederen	походит на голос моего отца
warak hoginipki	враг пинает
potom ami emeren	потом отец пришел
nu tala hurure	ну пошли туда
tar hele umno degilcholon dumajdesa tar beje	вот однажды когда тот улетел этот человек подумал
aja hawa tare	хорошая работа это
bejelba odawki sitaduk	делает людей из глины
taduwer lukilwi dajanalwi sawurihiniwki tuksamninkakunduk nungarnuntyn ganatmasilcha	потом стрелы которые спрятал схватил на бегу и начал с ними перестреливаться
girkulcha tare dunde hergidolin	стал ходить под землей
dapkun klaspe manapka bison	надо было закончить восемь классов
emedere ekunmal	едут по направлению ко мне какие-то
tozowkawa game	взял тозовку
odangas gunifkil brigadir	будешь говорят бригадиром
urinengnerew	останавливаемся на однодневную стоянку
nu urge tegetcheren guluwunmi dagadun edynunmi	ну беременная сидела у очага с мужем
aminngehe nungandar nadan anganisi bine asin osan	покойный отец умер когда ему было шестьдесят семь лет
no kunto opkandi mom gurudijem obratno	но перевернув сама буду грузить обратно
kungakar әmәrә uchamila	дети приехали в учами
a dla nih	а для них
tak izredka	так изредка
depdengkiwun	ели мы
edu inilderes	здесь будете жить
golowo molangnerewun uspewattingnerewun nartedu	бревно готовим дрова успеваем на нартах
ewunai isefkeses gunne	зачем ты показала спросил 
oj kak orellaw	ой как мы закричали
albacha aһadami	не смог догнать
okir bakachas	когда нашел
tegekonem moldu tegetcheren	сел и сидит на дровах
nungan gunchen	она сказала
nu ulle konechno ollol tuge	ну мясо конечно рыба так
ere indengkiwun na rybotochkah kalan delimakit perekat	это мы жили на рыботочках калан делимакит перекат
hawalim hagdandulaji	работала до старости
prosto du nungardulatyn ojoletyn bururen edynderekin homamat	просто чум упал на них сверху когда был очень сильный ветер
mindu bichen   bi hegdi bichew mindu bichetyn hutelwi uzhe	мне было   я взрослая была у меня были дети уже
uzhe halgarin eto w zemlu prowaliwajutsa	уже ноги у него в землю проваливаются
kolledzhwe eteren mirnyjdu	колледж закончил в мирном
da	да
angi buniderilwe irgichilwe doldirew	это воющих волков мы услышали
wot tadu bi i baldisaw	вот там я и родился
bu pektyrullew	мы выстрелили
bi tar doldim angiderilwe buniderilwe ngelewsy-ko	я это услышала этих воющих страшно
a ungun tar chasownagit emepki bicho	а этот самый из часовни приезжал
taduk nu ajamamat hegdyheso kungakan	потом очень хорошо вырос ребенок
taduk olenewod odam mekloji	потом оленеводом стал сам 
dawaj palatkatki tuksahinam	я давай бежать к палатке
engnekordu uchadangkif hiwudaktu	на телятах каталась верхом от скуки от нечего делать
wertoletil degingkityn olenewodildula	вертолеты летали к оленеводам
wot nungan potom opat tar zhe mestola emeren	вот он опять на то же место пришел
dundengdulii hururen-da ertyki-kem dulbi bisotyn gunne	пошел по этой земле думая вот в эту сторону мои чумы были
eruktalingkiwun girkumatpel	начинали проверять пешком
bejele asir	людей других нет
amakan lukilon osa bejetkondu ele nikor ustawatyn	дедушка сделал мальчику стрелы все это самое  все
taduk beje emelcho dumala	потом человек пошел к чуму
lambaranen	прилепила
taduk nungartyn eta   hewekidu   gunderen	потом они   бог думает
istanokil bejel ekur upolnomochennijil girkudangkityn	станки люди эти уполномоченные ходили
tepkelingkin	звал
