горовэ-э нулгӣчэвун.	долго аргишили.
ичэтно̄дем».	приду посмотреть».
****	****
амариӈдула̄вэр мучӯска̄т!	давайте повернем назад!
гошаядӯ бидичо̄тын.	у гоши они находились.
и э потом омоден долболто=, долбо уже, долбочоло̄н.	и потом он придет, уже когда настанет ночь.
бокончучэлдэн.	пошел догонять.
бэе девсамдалон, гирамдамӣла девувкӣ одяӈа̄с.	будешь есть за человеком его объедки, кости.
дыгин класпэ манаса̄в тадӯ.	четыре класса закончил там.
эдын ачин бичон энинӈӣв.	мужа не было у моей матери.
куӈакар hуюкур биӈэhӣтын-тэ, этэсов стадэлдӯ hавалдямӣ.	дети маленькие когда были, перестал в стаде работать.
сундӯ эдӯ, эдӯ ороко̄р вон биhэ.	у вас здесь олени.
дэ̄.	да...
часовнядӯ индеӈкӣтын	в часовне они жили.
эр тодёдо̄hун, hэлэ эмэпдем ирэкселвэ... ирэксевэ, о̄hалба, эр са̄тырэ ирэксэвон, эван.	чтобы вы поверили, я принес шкуру, камусы, шкуру и тому подобное этого песца.
уже инӣгэрэн орорви.	уже развьючил своих оленей.
пэктырэ̄чэ̄н чипка̄рвэ, улукӣлвэ, дянтакӣлвэ вес.	настрелял соболей, белок, росомах всех.
э̄, долго уже, долго, о̄й гороё итыга̄деӈнэрэвун, саво̄далвэр гороё инӣпдеӈнэрэв, гороё еще.	долго уже, долго, долго собирали вещи, долго вьючили , долго еще.
****	****
нуңан балдиса̄н нѓэкэндэдӯ hэгди, hэгди, hэгди экундӯ.	она родилась в эконде в большой, большой, большой этой самой .
амӣм дылганман урэ̄дерэн.	походит на голос моего отца.
варак hо̄гинипкӣ:	враг пинает:
потом амӣ эмэрэн.	потом отец пришел.
****	****
ну, та̄ла̄ hурурэ.	ну, пошли туда.
тар hэлэ умно̄, дэгилчолон, думайдеса тар бэе.	вот, однажды, когда тот улетел, этот человек подумал:
ая хава тарэ».	хорошая работа это».
бэелба одявкӣ ситадук.	делает людей из глины.
тадӯвэр лукӣлви дяяналви савуриhинивкӣ туксамнӣнка̄кундук, нуӈарнунтын ганатма̄силча.	потом стрелы, которые спрятал, схватил на бегу и начал с ними перестреливаться.
гиркулча тарэ дундэ hэргӣдо̄лӣн.	стал ходить под землей.
дяпкун класпэ манапка бисён.	надо было закончить восемь классов.
