ewengkil bichotin znachit monngil shamashil bichotin	эвенки были значит свои шаманы были
munngi chambal bichon aminmi bratin bichon iwigin iwan iwanowich	у нас у рода чамба был брат моего отца ивигин иван иванович
bichon prawda tuga ewedit gunmi sho ajat bichon	он был правда если по-эвенкийски сказать очень хорошо было
no znachit jesli induwer shamashil nadan gishuwel  nungan uspetten tolko nungunme	но значит если в жизни шаманов 7 колотушек  он успел только шесть
tri   tridtsatogo znachit toli shamashilwu hushki mortalra	в тридцатом году  значит тогда против шаманов боролись
toli nungan tolko uspetten nungunma ungtuwule odan	тогда он только успел шесть бубны сделал
na   nadiwan oshin uspetche	седьмой не успел
a tak tug ewenkil jesli shaman aja ili nu tug rodstwenniki schitajut eto po usmotreniju	а так эвенки если шаман хороший или так родственники считают это по усмотрению 
toli o   poslednij znachit nadan i dapki ungtuwun	тогда последний значит семь и восьмой бубен
eto numun nadan ungtuwel onngara listwennitsi iz listwenitsi  a dapki poslednij uzhe zawershajushij delali uzhe toli ongkitin bereza tak 	это шесть семь бубнов делали из лиственницы а восьмой последний уже завершающий делали уже тогда делали из березы 
i eto uzhe bilo	и это уже было
a tak okin nungan znachit bichon rodowoj bichon shaman	а так когда он значит был родовой был шаман
girku   w tritsatom gadu girkuchan leningradtiki ichow   i nungan i wot etot ngumi   ngumiwi wot tikin nungin gi    eto nungitpi i girkuran leningradtiki	в тридцатом году он поехал в ленинград и он и вот этот шестой свой  шестой его  вот теперь со своим шестым поехал в ленинград
shu   shuru   shurupchotin ichepkonu leningradtiki	возили показывали в ленинград
nu a shamannun raz shaman shururen derul   nu deruwuten nado	ну а с шаманом раз шаман поехал подпевать надо
de   derungneru znachit podpewali kogda	повторяли значит подпевали когда
toli ashal leningradtiki oshi shurumushe	тогда женщины в ленинград не хотели поехать
be   toli ngoletchu gorod   gorodtu odawer shurure	тогда они боялись в город ехать
toli tar nungannunin girkuchotin il   ilan bejel	тогда с ним поехали трое мужчин
nungan dada ulgurengkin	он дядя рассказывал
nungartin pojezdaduk togore i stantsijadu nungarwatin juwungnere ichepkonen narot ichedotin	они в поезд сели и на станции их высаживали показал чтобы народ видел
nu kak goworitsa eto tajozhnije ludi no wo wsakom sluchaje  	но как говорится таежные люди но во всяком случае…
taduk o   omol   omongkitin i znachit nungi ungktewenen bi izdachaw w kolpashewskij muzej	потом приехали и значит шестой бубен я сдал в колпашевский музей
tar tug bu   abaw nungan shagdi 	потом так мы мой отец он старый стал
znachit ingtuwunen nungan aba taril otojodengkin tungawa annganil	значит его бубен он отец хранил пять лет
ili no chtobi labazidu no   nokidu labaz nokidu ajat nongnuren i chtob omcho ulapcha i okolo ilan ilan metril chtobi ekumat omcho ere   ke	или но чтобы в лабазе хорошо положит чтоб не промок и около трех метров чтобы никто не это самое
wot i znachit i w poslednij raz toli w poslednij raz bi bi tozhe ungktuwune echaw eruktachaw i taduk aba bimrek nokudu norun i gulen gunen ekumat ogin	вот и значит и в последний раз тогда в последний раз я тогда бубен высмотрел и тогда отец навсегда в лабаз положил и сказал что никто не должен 
no taduk orlowo w shestdesat perwom hakulre lepromhozu hawalilre	но потом орлово в 61-м закрыли леспромхоз начали ходить 
i toli bi girkum nono girkuran tuge w dewanostom i tarilwa omowrow changki i bi toli elewetin kolpashewskij muzejtiki izdatchaw	и тогда я сходил мать сходила и в девяностом их привезли санках и я тогда всех их в колпашевский музей сдал
poligustula perwij r   emechom bi	я в первый приехала в полигус
alagumnit hawaldacham	работала учительницей
nulewoj klasstu mindu bichon uchenikilwi	в нулевом классе было у меня ученики мои
ketekokun bichōtin	много было
ilan dar ilan dar tunnga kungakar bichotin	тридцать   тридцать пять детей было
nungartin echotin  	они не были…
stadodu ketekokun edu poligustu bichotin oror	в стаде очень много оленей было здесь в полигусе
sadiktu kungakar okir-da echotin bisi	в садике дети никогда не были
wot umuken mindu bichon uchenikiw	вот один у меня был ученик
sergejew familijen sergejew gerbin trofim	сергеев его фамилия сергеев имя трофим
manaren nungan nulewoj klasswa	закончил он нулевой класс
perwij klasstu	в первом классе
stadola sururen orordi amtildulawi ehikon	уехал на оленях в стадо к родителям сейчас
shkolala kungakar stadoduk emewusine kungakarwe	в школу детей из стада привозили детей
ela shkolala	сюда в школу
bi  	я  
tadu nangtal sozreli angil nangtal stadodu	там кедровые шишки созрели кедровые шишки в стаде
minngi uchitelnitsa ajakakun ajakakun	моя учительница хорошая-хорошая
nungan epki luchadatte ewedit ulguchenipki	она по-русски не говорит по-эвенкийски рассказывает
wso nungan ewedit	все она по-эвенкийски
bi nungandun nangtala angidam	я ей кедровые шишки это самое
angila nangtala surupdem	кедровых шишек привезу
eninin eninin eke on uchitelnitsa goworit	мать говорит эй как учительницу
tugi-tugi gerbin	так-то ее зовут
familijawan omngom	фамилию забыл
