ichetnodem	приду посмотреть
goshajadu bidichotin	у гоши они находились
i e potom omoden dolbolto dolbo uzhe dolbocholon	и потом он придет уже когда настанет ночь
bokonchuchelden	пошел догонять
edin achin bichon eninngiw	мужа не было у моей матери
kungakar hujukur bingehitin-te etesow stadeldu hawaldami	дети маленькие когда были перестал в стаде работать
sundu edu edu orokor won bihe	у вас здесь олени
de	да  
chasownadu indengkitin	в часовне они жили
er tododohun hele emepdem irekselwe   ireksewe ohalba er satire ireksewon ewan	чтобы вы поверили я принес шкуру камусы шкуру и тому подобное этого песца
uzhe inigeren ororwi	уже развьючил своих оленей
pektirechen chipkarwe ulukilwe dantakilwe wes	настрелял соболей белок росомах всех
e dolgo uzhe dolgo oj gorojo itigadengnerewun sawodalwer gorojo inipdengnerew gorojo jesche	долго уже долго долго собирали вещи долго вьючили  долго еще
amim dilganman urederen	походит на голос моего отца
warak hoginipki	враг пинает
potom ami emeren	потом отец пришел
nu tala hurure	ну пошли туда
tar hele umno degilcholon dumajdesa tar beje	вот однажды когда тот улетел этот человек подумал
aja hawa tare	хорошая работа это
bejelba odawki sitaduk	делает людей из глины
taduwer lukilwi dajanalwi sawurihiniwki tuksamninkakunduk nungarnuntin ganatmasilcha	потом стрелы которые спрятал схватил на бегу и начал с ними перестреливаться
girkulcha tare dunde hergidolin	стал ходить под землей
emedere ekunmal	едут по направлению ко мне какие-то
tozowkawa game	взял тозовку
odangas gunifkil brigadir	будешь говорят бригадиром
urinengnerew	останавливаемся на однодневную стоянку
nu urge tegetcheren guluwunmi dagadun edinunmi	ну беременная сидела у очага с мужем
aminngehe nungandar nadan anganisi bine asin osan	покойный отец умер когда ему было шестьдесят семь лет
no kunto opkandi mom gurudijem obratno	но перевернув сама буду грузить обратно
kungakar әmәrә uchamila	дети приехали в учами
a dla nih	а для них
tak izredka	так изредка
edu inilderes	здесь будете жить
ewunai isefkeses gunne	зачем ты показала спросил 
oj kak orellaw	ой как мы закричали
albacha aһadami	не смог догнать
okir bakachas	когда нашел
