korzem am hyjғa kіzіler chahsy churtapcha	когда посмотрю сейчас умные люди хорошо живут
pіrejezі alystyrybyzar any jescho	кто-нибудь изменит её ещё
wot andada izestіg kilekche ol kіzіler	вот тогда наверняка хотят прийти эти люди
abakanda ja	в абакане да
anang ol palany karagajda pіr ipchі kortіr	потом этого ребенка в карагае одна женщина смотрела
nime wot ol tozhe master wot ona ol tіpche maғat ugrentіr	это вот она тоже мастер вот она говорят хорошо училась
wot annangar any kіzі іdi chajap saltyr	вот за это ее человек так обласкал
tungmam polғan anymang hada parғabys	сестрёнка была с ней вместе ездили
a chiitter naj la nime irtіncheler	а молодежь очень это наглеет
nu a ol am werhaskiztіng orynda-ta hajdaғ-da aal polғan na polar	ну а вместо верх-аскиза была же какая-то другая деревня наверно раньше
a gorodta nojma toғynchalar min parғam	а в городе что работают я ездила
kilbejendir tajғazar nime tejererge parғan ol	не пришел что собирать в тайгу ушел
saғyzyma kіrbinche	не вспоминается
a postarynyng chon astapcha	а свой народ голодает
a andada uluғ hamnar tіp kil choohtaschangnar	а тогда большие шаманы разговаривали
sangaj la pіs hazah kip-azah kispeӌjebіs	мы русскую одежду совсем не надевали
a tagza apar saltyr a kem aparғan tazholyjdy	а на гору отнесли а кто унёс тяжёлый
nu a ol pіdi chuғaӌahtar	они такие тоненькие
a olar pіdi onaaғa mynyng alnyndaғy toojler a pіdi chuғaӌahtar plastinalar ohs	а они просто похожи на те что были раньше а так они тоненькие как пластины
min	я
min iskem nime pu chylannar kak by tu samyj pastyғlary chi ili hajdi tіpcheler tsarі chi nime myndaғ tuktug nime hajdaғ polchan odyr 	я слышала у таких змей самые главные или как говорят царь их что ли бывает такой волосатый как бы
hyyr am	прочитай-ка
anang pіr hys oolbang mynda myndaғoh pu aaldang churtap salғannar jesche	потом одна девушка с парнем здесь здешняя же с этой деревни поженились ещё
anang pydyrahtang hajdaғ-de brigadir polғan nime rajonnyj	потом из бутрахтов какой-то бригадир был это районный
se min am іӌjemoh chazyna chitіre churta churtap alam annang artyh churtabassym tіp saғyncham annangary	ну я теперь до маминых лет жив… проживу больше этого не теперь до маминых лет жив… проживу больше этого не проживу думаю поэтому
a parғamda ulam   ulam ustunde abam ot hyrlapcha chon toldyra	а когда я пошла стог   на стоге сена отец стог вершит народа полно
no zhannanyng andaғoh ulii sedmojғa anang diana anang ilusha – us pala	да у жанны также старшая в седьмой потом диана потом илюша – трое детей
irlіg pala choғyl	замужем детей нет
a sіrerdіng mynda pu taғlardyng praj pіrejezі pіreje taғlardyng at attary par ba	а у вас здесь у этих гор у каких-то гор есть названия
a choh pіske chaj pіs azyranyp alғabys chіp alғabys	а нет нам чай   мы покушали поели
krigorijdyng hyzy kil pejere tіpche segeje kilgem tіpche	дочь григория иди сюда говорит за тобой я приехал говорит
charir nawerno ze	достаточно наверно да
anang paza anӌa nonna noo denis polar anda	потом еще сколько нонна … денис там будет наверное
harbascha zhe ol kuresche	борется же он борьбой занимается
a haryndastaryng tungmalaryng rodnoj hada torejen	а братья и сестры родные 
naa nimelіg towar aғylza tejem andaғ kіzіlerge tіgіp odyr a irgі imeler alba tejem pіr deje	если новую ткань принесёт говорю таким людям шей а старые вещи не бери говорю вообще
hudaj-abaӌah habynғam moodіm choғyl	господь-батюшка хватилась мёда нет
wodichki  	даже с белого тасхыла текущие реки даже белую степь преодолевая бегут
kolhozta min toғynmaan ime halbaan tolko hyra la tartpaam	в колхозе не было работы которую бы я не делала только поле только не пахала
hajdi korіndіre pol parcha ol	как на глазах происходит это
aғas aғasha іlіn marғan	дерево… на дереве повис
no anyzy pіr deje ime pіlbejendіr	но тот ничего не знал оказывается
am pozyrahta surtem tejen kiӌjeje	теперь в воскресенье белить буду сказала вчера
peske nime pіreje nime itche be	печке это что-нибудь делают
nu raz pu chyl otys chyl polcha pіr chyl toғynmaan daa am	ну раз в этом году тридцать лет и год не работала сейчас…
a to dlinnyj polғan	а то длинное было
ja sin putinnі kіrestenchen korchemeng	да ты видишь что путин крестится
tadar tіlіnmeng choohtanarғa	на хакасском языке говорить
a butanajewha pirіbіskem butanajewteng anang surғam sin pirbejezіng tejen i wso i tak i chіt parғan	а бутанаеву я отдала у бутанаева потом спрашивала ты не давала сказал - и всё и так и потерялось
puoh shkolada ugrencheler ulii pu shkolany toozyp aғban gorodsar ugrenerge parar	все они учатся в этой школе старший эту школу закончил и поедет учиться в абакан
a-a aga	а-а ага
i to   pіs pejerkіlerі ing aal pazyndaғylary i to pasha choohtascha	и то мы тутошние и те что в самом начале деревни  и то по-разному разговаривают
pokosha chorӌjebis pireje-pireje andary	на покос туда ходили
ja anda hystapcham	да там зимую
am sentabrda us chas tol 	в этом сентябре ему будет три года
konekmeng	за ведро
chabal aғyryғ o-o	злая болезнь о-о
a-a uchuhcha be	а-а отлетает
para piӌjede polғabys	у тёти вари мы были
chastyғ nіzem naj le uluғ uzhe	в возрасте ведь я сильно пожилая же
haraғaj aga	харагай ага
pіr moment jescho saғyzyma kіr partyr	один момент запомнил
ahpashewterdeng daa choғyl sultrekowtardang deje choғyl	и из ахпашевых нет и из султрековых нет
any al chorӌjengner hajzy ibezіnzerі aparyp hamnatchangnar	его водили некоторые домой приведя приглашали шаманить
min aғaa at syjlirғa itchetkem	я ему хотела коня подарить
palalardang	с детьми…
a sowhozha tikke le toғynғabys nіze	а на совхоз бесплатно только работали мы ведь
ipchіzі azahha aar halғan poltyr uzunӌі palazyna	жена беременная осталась оказывается третьим ребенком
anang hanӌa-da kіzі mozhet byt on on pische polar chi hajdi-da ol tsifrazyn undut saltyr min ime zadanije pirgenner	потом несколько человек может десять-пятнадцать будет как-то эту цифру я забыл это задание дали
ady sіlіg hakas chonym sablan turzyn haӌanғa daa-j	с красивым названием хакасский народ мой пусть прославляется всегда
am pu ot tuzy pol parybyshan anyng uchun mangnanminchan ohstar kil polbinchalar	теперь настало время сенокоса поэтому не успевает видимо не могут приехать
hy sosha hy sosha tіp chuh-chuh-chuh tіp hyғyrybystyr nіze	свиней чух-чух-чух позвал ведь
 a іdi sut pirche	надо а так молоко дает
hajda parizyng purіӌjegіm paza chylda kilem sіrbegіm - tіptіr	куда идешь мой листочек в следующем году вернусь веточка сказал
hysty sostіg be choh pa pіlіp alyp anang nandyra kilіbіscheng poltyrlar	согласна девушка или нет те потом возвращались домой
ju hajdi іkі turanang ahcha chyғdyng nіze tіptіr	ой как с двух комнат денег ты собрала сказала
anang irten sakow sakow	потом утром саков… саков…
min aғaa suғ pirgem	я ему воды дала
unny pripekazyn sanap pіlӌjeng polғan anang anyzyn sanap alza pіr halas tіgі karalka it salӌang polғan	муку припеку от нее считать умела потом когда ее посчитает один хлеб калач делала
okerek hyzyӌaғas odyr	оказывается красивая девушка
kilgen no	приехала да
poonӌah pastalybyshannar	ну там на старушку же похожа была эта гора
kolhoz tuzynda	во время колхоза
a pultah pahpyr polar kiӌjeje araғa izibiskebys	а у пултаха должно быть похмелье вчера выпили водки
ah taa tashylda ahhan daa suuӌaam ah taa chazylardy tobyryp alcha-j	и на белом тасхыле текла также река моя и белые степи преодолевает
andar pіstіng shkolanyng ugrenӌіlerі chorіp pastaannar pastaғlyғ klasstang syғara toғys klassha chitire	туда начали ходить ученики нашей школы с первого класса до девятого
tarbaғanda hyra tartybyshannar	в тарбаганах поле вспахали
kolhozta wsego pіr le kolosnyj traktor polӌang	в колхозе был всего один колесный трактор
a minі arshanza pararғa starik tort mashina kilgen	а меня в аршаны ехать старик   четыре машины приехало
toғynғabys kip-azah choh	работали без одежды
іdi itcheng palany	так делали ребёнка
am palalary anyng tіrіg me	сейчас его дети живы
nu oleg	ну олег
іdi che	так-то
any pіlchezer	его знаете
іdi chi іdi	так-то так
paza pala tap tappin kop tappincha nіze olar	больше детей не родила много не рожают ведь они
pismo la alza y-y syyt pіstіng parcha	как только получим письмо ы-ы плач у нас идёт
izen-hazyh le ajlanғan polza min saғynғam anyng palazy pol pararӌyh min am	если бы живой-здоровый вернулся я думала его ребенком стала бы теперь
