kok rush udyr-shamych ulyt yle	две русские девушки были
wara malyzhe	пусть поспит
ere kolysho imnetlan da mo da pesh shortynam da	плакала из-за павшей лошади и прочего
myj kuznechysh koshtynam	она не отсюда потому что
izirak ergymyn kok   ik ergyzhe ulo	а у младшего один сын
tu   pyrlak ik kechak kajenut	они все вместе в один день ушли
wara adak	потом снова
tylanet tyge chuchyn	тебе так казалось
tushto joltash-shamych shurat	там же друзья мои боронят
tudo budkysh petyrenyt	закрыли в эту будку
mylam trojkym shyndysh	мне тройку поставил
melnam kuze yshtash	как делать блины
wet izish ilynet dyk	если хочешь немножко пожить
hot w tserkwu hodi nikto ne zapreschajet tolko molis	хоть в церковь ходи никто не запрещает только молись
moshtash moshtet konga uke gyn wot kanyl ogyl	может сможешь но если нет печки тогда нелегко
trotuar den kajena chyla lawyra	по тротуару идём везде грязь
myj shym ijash mo	я в семь лет что ли
adak tselinashket shyna kaj	опять на целину не поехали
ala iktazh peche jymak	может под забором
wot	вот
sergej wasiljewich	сергей васильевич
tynar shinchawudsho jogen da kylmen shinchyn jushtyshtet	столько слёз она пролила и слёзы заледенели в морозе
postaratsa da kulesh konechno zhe	постараться конечно нужно
tudym kindysh pyshtena yle	их добавляли в хлеб
no tora welyshte ulytat	но они далеко живут 
pokrywalym pidme yle mo ustembal	покрывало связала это скатерть
oj washport kuze lijesh	ой как сказать вашпӧрт 
dwa   dwa doma postroili shesteryh detej sdelali	два   два дома построили шестерых детей родили
kol kandashymshe awgust tide spas memnan	двадцать восьмое августа это у нас спас
juzhgunam zhe ojlat chto tyge   jesli	иногда же говорят что так если
kolen koltysh shoryn shysh kert da	умерла не могла ходить в туалет
ajda portylyna mo memnan imne lijyn	давай вернёмся что случилось с нашей лошадью
tyj	ты 
nuno kolhozyshto shke kushko kulesh	они в колхозе сами куда нужно
kandash ijash ergyzhe yle manesh	у него был сын восьми лет
mo kok gana ojlenut mo mom yshtenut   jenym shortarenut	два раза передавали заставили людей плакать
ulo mom sharnaltash	есть что вспомнить
chaple imnym shogalten kodyshym mom yshtet	хорошую лошадь оставила что поделаешь
kudlo kud ij ilem	шестьдесят шесть лет живу
marijzhymat	и по-марийски-то
ik ijlan sajyn pasham yshten ot kert	ни одного года не можешь поработать по-хорошему
nu ilena uzhyna	ну поживем увидим
tuge no	ну да
tun dech warazhe ere en ere pel jolem korshtysh yndyzhe kogynek korshta	после этого одно нога начала болеть а теперь обе болят
i kinoapparat ok kul 	и киноаппарат не нужен
