mana man kagam	мой друг мне писал
teʔte ko	четыре месяца
shoʔ dober shoʔ dober	приезжай приезжай
man kalam	я приеду
imbide ej timnem	я ничего не знаю
digette pangdebiam diʔne sazen	тогда я написала ему письмо
mambiam sholej agafon iwanowich  digette man sholem	сказала приедет ко мне агафон иванович тогда я приеду
digette di mana pangdlaʔbe sholem boste shiʔnileʔ	тогда он мне пишет я сам к вам приеду
digette shobi miʔnibeʔ man ej edebiem dim	потом он приехал к нам я его не ждала
nu man neveskam dim detleʔbe	ну моя невестка его привела
do tan kuza shobi	вот человек твой приехал
man nuʔmebiem niʔne	я выбежала на улицу
oj buzu shobial	ой ты быстро приехал
digette di shobi amorbi	потом он пришел  поел
iʔbebi kunolzitte	лег спать
digette uʔbdebi kambi bune terbende	потом встал пошел на реку на мельницу
din toze dirgit kubi	там тоже нашел таких 
dabakterbi din	поговорил там
digette shobi maʔnde	потом пришел домой
digette moltane kambi	потом пошел в баню
man dizi mimbiem	я пошла с ним
din bu diʔne dibige shishege bu saben mibiem	дала ему горячую и холодную воду мыло
di bazejdebi din digette shobi maʔni	он там помылся потом пришел ко мне домой
mambiam amaʔ	я сказала ешь
man din ambiam terbengen	я там поел на мельнице
ej ambi	не поел
digette kudajde numan uzebibeʔ	потом мы помолились
digette di iʔbebi man toze iʔbebiem	потом он лег я тоже легла
erten uʔbdlaʔbem munujʔ minderbiem	утром я встала сварила яйца
amorbibaʔ kambibaʔ aftobuste	мы поели и пошли на автобус
din nubibaʔ digette shobi aftobus	мы там стояли потом пришел автобус
miʔ amnobibaʔ kazan turane kambibaʔ	мы сели поехали в агинское
din toze kudajde numan uzebiʔi	там мы тоже помолились
kamen sumna shobi digette kambibaʔ ujarde	в пять часов мы поехали в уяр
din shabibaʔ	там переночевали
toze din ige il toze	там тоже есть 
digette erten uʔbdebibaʔ i kambibaʔ krasnajarskegen	потом мы встали рано и поехали в красноярск
din kambibaʔ gijen nergolaʔbeʔje din amnobibaʔ i kalla durbibaʔ	там мы поехали туда где летают сели и улетели
navasibirskane din toze shabibaʔ	в новосибирск там мы тоже переночевали
digette din bazo amnobibaʔ i shobibaʔ maskvane	потом мы опять сели и прилетели в москву
don dune amnobibaʔ digette amnobibaʔ mashinane kambibaʔ maskvane	там мы приземлились потом сели в машину и поехали в москву
din mana kurbi	там меня сфотографировали
toze il din ibiʔi	там тоже были люди
digette parbibaʔ bazo amnolbibaʔ i do turane shobibaʔ	потом мы вернулись  сели и прилетели в этот город
digette doʔe kambibaʔ tartu	потом оттуда мы приехали тарту
din nagur nedela amnobiam	я там жила три недели
bazo mana ibi kambibaʔ gijen iʔgo sirujane	взял меня опять и мы поехали туда где много 
din iʔgo il ibiʔi	там было много народа
nemseʔi ibiʔi i hohli ibiʔi	немцы были и украинцы были
iʔgo din kundo shide nudi man shabiam din	там я долго была две ночи переночевала
digette bazo dober deʔpi	потом снова меня сюда привез
diʔne nukene	к этой женщине
i din amnolaʔbem	и я здесь живу
kabarlej	хватит
digette arpit shobi man plemannik ej oʔlubi mena	вот арпит приехал а мой племянник не отпускал меня
a newestka mande kanaʔ kanaʔ	а невестка говорит поезжай поезжай
digette man kambiam dober	тогда я поехала сюда
talden miʔ jaʔtarla kambibaʔ oniʔ nukene	вчера мы ходили в гости к одной женщине
amnobibaʔ aftobuste diber shobibaʔ	мы сели в автобус приехали туда
