digette un abibaʔ termende mimbibeʔ	потом мы муку делали на мельницу ходили
digette milleʔbeʔje gijen iʔgo ige sire	потом они идут туда где много снего
di mande man ej timnem	тот говорит я не знаю
bar imbi nuldelaʔbeʔje	ставят все 
i kubi dizeng toze maʔken amnobiʔi	и увидел людей который тоже жили в чуме
i duziʔ kamnebiʔi	и землёй засыпали
digette kujagen kolej da oʔbdeste nada	потом она на солнце высохнет и надо будет ее собрать
digette  nin kujnekte kuvas toʔbde	потом… у парня рубаха красивая новая
digette nudin kubi tura turane shobi	потом вечером она нашла дом вошла в дом
digette dizeng ara biʔpiʔi bar	потом они выпили водки
di kolambi	он высох
kubabe kubi da ibi shune embi	шкуру нашел взял и положил и положил в огонь
mana inezi ej amnoste i tuzojde ej amnoste tanan kereʔ dak tan kanaʔ	мне с лошадью не жить и коровой не жить тебе надо так ты и иди
boste bar todam	сама стройная
xatel kabarzitte oniʔ uduge shoshka	хотел схватить одного поросенка
dizeng dim oʔbdebiʔi	они ее собрали
shen bile norbelat	он говорит плохо
dok	нет
tan mana	ты дай мне
paziʔ bar bareʔpi	палкой ведь кидала
di uʔpi	он встал
bideʔ bu	пей воду
kabarlej	останови 
diʔne tuj sejʔpu pe	ей сейчас семь лет
anaʔ diber	иди сюда
perejaslavkane shobibaʔ	мы приехали в переясловку
davaj kirgarzitte shoʔkeʔ mana	и стала кричать сшейте мне
shaʔlande miʔnibeʔ	спрячь нас
digette parluʔbiam	тогда я вернулась
ej jakshe nilgolaʔsitte	нехорошо подслушивать
kuja bar amnolaʔbe	солнце ведь садится
man noʔde toneʔlaʔbe	топчет мою траве
ilziʔ jakshe dabakteraʔ	говори с людьми по-хорошему
digette diber - davaj merit - sumna abi	потом там давай мерить сделал пять
tan pelde budet man pelde	у тебя половина будет и у меня половина
boste nergoluʔpi bar	сама улетела
tan ej kubiam gijen nergoluʔpiʔi nabeʔi	ты не видела куда полетели утки
o girgit namga	ох какая вкусная
di ineʔi badebiʔi a do ineʔi ej badebiʔi	тех лошадей покормили а этих лошадей не покормили
kanaʔ mande	иди домой
iʔgo il nulaʔbe	много людей стоит
nada mana poʔto baʔsitte	мне придётся козла зарезать
kabarlej dashka	хватит больше не надо
man mandem unna amnolam bar	я говорю одна буду жить ведь
ugande kushtu kuza	очень сильный человек
i kirgarlaʔbe man maluʔpiam	и кричит я застрял
di davaj sutsi 	она стала молоком…
kabarlej	хватит
i diʔne amnuʔte sherbi	надел на рога 
pesh nenzitte	чтобы печь топить
saʔmeluʔpi kupeste turane	она упала около дома купца
dizeng kambiʔi	они полетели
a di mande tujo suʔmiluʔlem dak bar tanan saj nozuʔlem	а она говорит сейчас как выпрыгну разорву тебя на части
a keʔbde ibi sager keʔbde	а ягоды были - черная ягода
son kuʔsitte nada	надо убить оленя
ugande maktanarzitte jakshe mobi	он очень хорошо умел хвастаться
kanzebej maʔni abande	пойдём домой к твоему отцу
tang ej dabakteraʔ	сильно не разговаривай
digette di edebi aspak	он подвесил котёл
buzen koʔbdobe baragen detleʔbe	дочь мужчины в мешке несут
di suʔmiluʔpi a din shu ibi	он прыгнул а там огонь был
urgaba shonega iʔ mana 	медведь идет возьми меня с собой
dizeng kunolbiʔi dugen	они спали на полу
tibi da koʔbdo tanan padi imbi-nibud deʔpiʔi	мужчина и девушка наверное принесли тебе что-нибудь
digette tumo supsobi mande	потом мышка выбежала говорит
i nuʔmiluʔpiʔi maʔnde	и побежали домой
shobi	пришёл
dizeng nawernoje ibiʔi ujutte sarbiʔi kumbiʔi maʔnde	они наверное взяли его связали ему ноги отнесли домой
bar	дымно
a volk shobi dim amnuʔpi	волк пришел съел его
iʔ kanaʔ	не ходи
davaj doʔe 	давай отсюда…
man dijene digette kallam	я потом в лес пойду
shoʔ dober	иди сюда
tolko kanzitte	только идти
man boloto shobiam	я шла по болоту
shobiʔi ineziʔi	они поехали на лошадях
ugande tan sager kanaʔ moltane	очень ты грязный иди в баню
davaj tanzi amnozitte	давай вместе жить
kudajen koʔbdo iʔ miʔnibeʔ	божья дочь возьми нас
 digette di xvoste xvoste sajneʔpi	он ее схватил за хвост хвост оторвался
a dizenggen imbide nagobi	но у них ничего не было
ara biʔpiʔi	водку пили
koderde aje i sholel	развяжи дверь  и зайдешь
tuj man unnam amnolaʔbem	теперь я одна живу
ti bar uʔmelaʔpi	она убежала
kanaʔ	иди
i bazoʔ embiem	и назад поставила
tushelde mana maktanerzitte tanzi	научи меня восхвалять тебя
digette mande	однажды она говорит
i davaj kunzitte krospaʔine din dune tildzitte	и понесли его на кладбище чтобы там похоронить
man diʔne kabazarbiam	я емуей помог
sujo amnoʔ amaʔ	птица садись ешь
ne axota kanzitte ugande sheriem	не хочу идти очень стесняюсь
a man kuvas igem	а я красивая
dim bareʔluʔpi	его бросили
nujleʔbem	пою 
amnaʔ amoraʔ a man tarirlam	садись поешь а я буду пахать
di shobi surarlaʔbe imbi tanan kereʔ	тот пришел спрашивает что тебе надо
kambi diʔne	пошла к нему
digette di buze mambi iʔ shamaʔ	тогда этот человек говорит не ври
miʔ ej 	мы не ссорились
ugande berze sire bar kundlaʔbe	сильный ветер дождь идет
dizeng moʔi oʔbdebiʔi i aspaʔde embiʔi	они собрали гнезда и положили их в котел 
shobiam shobiam aktigen	шла шла по дороге
di kambi	он пошёл
digette shobi	потом он пришёл
nada mana jama shoʔsitte	сапоги сшить надо
digette tabun ine 	был табун лошадей
volk da lisa	волк да лиса
dittegesh di ni giberde ari durzitte molat	потом один парень решил куда-то уйти
aktit bar ibi	дорога была узкая
il iʔgo ibiʔi	много людей было
kagazangde bar munorbi i kalla durbi	братьев ударил и исчез
digette sholeʔje monoʔkoste koʔbdo di ni	тогда этот парень придет свататься к девушке
a imbi ulugen	а что на голове
a tan ej 	и ты не выгонишь
man kambiam	я пошла
iʔ kuromaʔ	не сердись
miʔ turagen 	в нашем доме 
dober mande bu eneʔ a dober kos eneʔ	сюда говорит воду наливай а сюда уголь клади
din unuchkat bar sodorbi fartuk diʔne di nukene	её внучка шила фартук для этой женщины
krinkaʔi bezejdebiam	kринки вымыла
di tenobi tenobi	он думал-думал
digette dizeng shobiʔi boste dune	потом они пошли в свою землю
bu mangngaʔbe	вода течет
imbi dorlaʔbel	почему ты плачешь
i kajlaʔbeʔje	и закрывают
din men ibi	там была собака
nu mallat shto bila kuzat tan	ну скажет что ты плохой человек
telega a kalosaʔi nuʔmeleʔbeʔje	телега а колёса бегут
inem xamutte surerlaʔbe	загоняют лошадь в хомут
sumna dala bitleʔbeʔje uge ara i digette kabarlej	пять дней они все время пьют водку и потом хватит
di saʔmeluʔlej i tan saʔmeluʔlel	она упадёт и ты упадёшь
ibi ej mobi	схватил… не смог 
eju mobi ugande eju	тепло стало очень тепло
a kunolzitte ishsho iʔgo nada kunolzitte	и спать тоже спать надо много
toltanoʔ nagobi din dizenggen	картошки у них там не было
digette abes tuj ej milie diʔne amzitte	после этого священник не дает ему больше есть
digette oniʔ manlia	тогда один сын говорит
iʔ maʔde mana	не оставляй меня
tang nendleʔbeʔje i eju dizeng 	хорошо горят и тепло 
digette man nererluʔpiem bar	потом я испугалась
a oniʔ diʔpi	а один выстрелил
naverno ej ambiam	наверное не съел
a il uge milleʔbeʔje i nujleʔbeʔje	а люди ходят поют
digette shobi bazoʔ manlia man kalam bune	потом он пришел опять говорит я пойду к реке
inebe korerluʔpi	лошадь запряг
i imbide ej dabakteriam	и ничего не говорит
din ninde man sestram tibine kambi	моя сестра вышла замуж за его сына
igeʔ mana	возьмите меня
digette di samejzitte kalladurbi	потом тот ушел охотиться
tuj di shobi mana shaste i mana surerluʔpi	теперь она пришла ко мне переночевать и меня выгнала
digette shobiʔi majane	потом пришли к горе
a di mu bar  duʔpi ibi	но эти ветки были мокрые
 kanaʔ doʔe	мише иди отсюда
koʔbdol mibileʔ man nine	свою дочь вы отдали нашему сыну
digette dijegen di surarbi	потом в лесу он спросил
togonorbiam togonorbiam a kuiol tuj mana baruʔluʔpi	я работала-работала и видишь теперь меня выбросили
digette tibizeng paʔi ileʔi udande	потом мужчины берут палки в руки
a digette shobi di diber miʔnibeʔ agafon ivanovich shobi miʔnibeʔ diziʔ dabakterbiam	а потом к нам приехали агафон иванович я с ним разговаривала
digette shoshka shonega	потом идёт свинья
ineʔi daʔpibaʔ kambibaʔ maʔni	мы поймали лошадей и поехали домой
dizeng nuʔmeluʔbiʔi shoʔ iam ujam minzerleʔbeʔje	они побежали иди сюда мать мясо варит
norbaʔ skazka digette shu milem	расскажи сказку тогда дам огонь
di bar baʔtebi sarbi i bazebi	она  перевязала и помыла 
ugande paʔi iʔgo dizeng nada jaʔsitte	очень много деревьев их надо срубить
digette  pogodi wot  pustil digette neʔsitte nada	потом… погоди вот потом веять надо
 tan pujel ugande puʔme bar nilgolaʔbe	твой нос очень острый всё слышит
dizeng ejumnubiʔi	они согрелись
digette shonega bu mangngaʔbe	идет речка течет
tujo ujuʔi sheriem jamaʔi	подожди сапоги на ноги надеваю
toze tuzoj dare molambi bar todam mobi	корова тоже такой стала худой
izemnie	все у меня болит
kubi ine	увидел лошадь
ugande urgo maja	очень большая гора
atdaj	отдай
digette kuja bar uʔbdebi	тогда солнце встало
